DATETIME,key,trade,fill,fill_datetime,filled_price,locked,order_id,parent,children,active,order_type,algo_to_use,reference_price,limit_price,manual_trade,manual_fill,roll_order,calendar_spread_order,inter_spread_order,generated_datetime,reference_of_controlling_algo
2024-06-26 07:11:41,example/AFLT/20240900,[1],[1],2024-06-26 07:11:41,6517.0,False,40,40,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,6496.0,,False,True,False,False,False,2024-06-26 07:11:11,
2024-06-26 07:11:54,example/CNY/20240900,[26],[26],2024-06-26 07:11:54,11.0,False,41,41,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,11.0,,False,True,False,False,False,2024-06-26 07:11:11,
2024-06-26 07:12:07,example/MGNT/20240900,[-2],[-2],2024-06-26 07:12:07,6318.0,False,42,42,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,6233.0,,False,True,False,False,False,2024-06-26 07:11:11,
2024-06-26 07:12:19,example/MOEX/20240900,[-1],[-1],2024-06-26 07:12:19,23597.0,False,43,43,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,23523.0,,False,True,False,False,False,2024-06-26 07:11:11,
2024-06-26 07:12:31,example/MXI/20240900,[1],[1],2024-06-26 07:12:31,3169.0,False,44,44,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,3156.0,,False,True,False,False,False,2024-06-26 07:11:11,
2024-06-26 07:12:42,example/RTKM/20240900,[-4],[-4],2024-06-26 07:12:42,9299.0,False,45,45,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,9418.0,,False,True,False,False,False,2024-06-26 07:11:12,
2024-06-26 07:12:54,example/SIBN/20240900,[-3],[-3],2024-06-26 07:12:54,7213.0,False,46,46,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,7198.0,,False,True,False,False,False,2024-06-26 07:11:12,
2024-06-26 07:13:06,example/SMLT/20240900,[-6],[-6],2024-06-26 07:13:06,3168.0,False,47,47,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,3123.0,,False,True,False,False,False,2024-06-26 07:11:12,
2024-06-26 07:13:20,example/SNGP/20240900,[-2],[-2],2024-06-26 07:13:20,54558.0,False,48,48,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,53879.0,,False,True,False,False,False,2024-06-26 07:11:12,
2024-06-27 07:14:52,example/AFLT/20240900,[2],[2],2024-06-27 07:14:52,6654.0,False,49,49,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,6643.0,,False,True,False,False,False,2024-06-27 07:14:16,
2024-06-27 07:15:02,example/CNY/20240900,[24],[24],2024-06-27 07:15:02,11.0,False,50,50,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,11.0,,False,True,False,False,False,2024-06-27 07:14:16,
2024-06-27 07:15:14,example/MGNT/20240900,[-2],[-2],2024-06-27 07:15:14,6291.0,False,51,51,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,6290.0,,False,True,False,False,False,2024-06-27 07:14:16,
2024-06-27 07:15:25,example/MOEX/20240900,[-1],[-1],2024-06-27 07:15:25,23799.0,False,52,52,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,23797.0,,False,True,False,False,False,2024-06-27 07:14:16,
2024-06-27 07:15:41,example/MXI/20240900,[1],[1],2024-06-27 07:15:41,3180.0,False,53,53,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,3183.0,,False,True,False,False,False,2024-06-27 07:14:16,
2024-06-27 07:15:54,example/RTKM/20240900,[-6],[-6],2024-06-27 07:15:54,9277.0,False,54,54,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,9333.0,,False,True,False,False,False,2024-06-27 07:14:16,
2024-06-27 07:16:06,example/SIBN/20240900,[-4],[-4],2024-06-27 07:16:06,7104.0,False,55,55,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,7121.0,,False,True,False,False,False,2024-06-27 07:14:16,
2024-06-27 07:16:15,example/SMLT/20240900,[-7],[-7],2024-06-27 07:16:15,3141.0,False,56,56,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,3161.0,,False,True,False,False,False,2024-06-27 07:14:16,
2024-06-27 07:16:29,example/SNGP/20240900,[-2],[-2],2024-06-27 07:16:29,54790.0,False,57,57,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,54787.0,,False,True,False,False,False,2024-06-27 07:14:16,
2024-06-28 07:06:59,example/AFKS/20240900,[-1],[-1],2024-06-28 07:06:59,23652.0,False,58,58,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,23846.0,,False,True,False,False,False,2024-06-28 07:06:31,
2024-06-28 07:07:22,example/AFLT/20240900,[2],[2],2024-06-28 07:07:22,6557.0,False,59,59,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,6582.0,,False,True,False,False,False,2024-06-28 07:06:31,
2024-06-28 07:08:37,example/CNY/20240900,[22],[22],2024-06-28 07:08:37,11.0,False,60,60,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,11.0,,False,True,False,False,False,2024-06-28 07:06:31,
2024-06-28 07:08:56,example/MGNT/20240900,[-2],[-2],2024-06-28 07:08:56,6246.0,False,61,61,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,6267.0,,False,True,False,False,False,2024-06-28 07:06:31,
2024-06-28 07:09:17,example/MOEX/20240900,[-1],[-1],2024-06-28 07:09:17,23792.0,False,62,62,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,23781.0,,False,True,False,False,False,2024-06-28 07:06:31,
2024-06-28 07:09:43,example/MTLR/20240900,[-1],[-1],2024-06-28 07:09:43,22187.0,False,63,63,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,22148.0,,False,True,False,False,False,2024-06-28 07:06:31,
2024-06-28 07:10:07,example/MXI/20240900,[1],[1],2024-06-28 07:10:07,3181.0,False,64,64,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,3175.0,,False,True,False,False,False,2024-06-28 07:06:31,
2024-06-28 07:10:27,example/NLMK/20240900,[-1],[-1],2024-06-28 07:10:27,18142.0,False,65,65,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,18189.0,,False,True,False,False,False,2024-06-28 07:06:31,
2024-06-28 07:10:44,example/RTKM/20240900,[-4],[-4],2024-06-28 07:10:44,9268.0,False,66,66,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,9369.0,,False,True,False,False,False,2024-06-28 07:06:31,
2024-06-28 07:11:00,example/SIBN/20240900,[-6],[-6],2024-06-28 07:11:00,7072.0,False,67,67,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,7099.0,,False,True,False,False,False,2024-06-28 07:06:31,
2024-06-28 07:11:17,example/SMLT/20240900,[-9],[-9],2024-06-28 07:11:17,3170.0,False,68,68,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,3159.0,,False,True,False,False,False,2024-06-28 07:06:31,
2024-06-28 07:11:34,example/SNGP/20240900,[-1],[-1],2024-06-28 07:11:34,55717.0,False,69,69,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,55683.0,,False,True,False,False,False,2024-06-28 07:06:31,
2024-07-01 11:35:12,example/AFLT/20240900,[1],[1],2024-07-01 11:35:12,6479.0,False,70,70,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,6470.0,,False,True,False,False,False,2024-07-01 11:34:51,
2024-07-01 11:35:27,example/CNY/20240900,[26],[26],2024-07-01 11:35:27,11.0,False,71,71,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,11.0,,False,True,False,False,False,2024-07-01 11:34:51,
2024-07-01 11:35:40,example/MGNT/20240900,[-2],[-2],2024-07-01 11:35:40,6278.0,False,72,72,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,6241.0,,False,True,False,False,False,2024-07-01 11:34:51,
2024-07-01 11:35:53,example/MOEX/20240900,[-2],[-2],2024-07-01 11:35:53,23853.0,False,73,73,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,23794.0,,False,True,False,False,False,2024-07-01 11:34:51,
2024-07-01 11:36:01,example/MTLR/20240900,[-1],[-1],2024-07-01 11:36:01,22166.0,False,74,74,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,22095.0,,False,True,False,False,False,2024-07-01 11:34:51,
2024-07-01 11:36:11,example/MXI/20240900,[1],[1],2024-07-01 11:36:11,3199.0,False,75,75,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,3185.0,,False,True,False,False,False,2024-07-01 11:34:51,
2024-07-01 11:36:24,example/NLMK/20240900,[-1],[-1],2024-07-01 11:36:24,18128.0,False,76,76,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,18072.0,,False,True,False,False,False,2024-07-01 11:34:51,
2024-07-01 11:36:36,example/RTKM/20240900,[-5],[-5],2024-07-01 11:36:36,9247.0,False,77,77,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,9282.0,,False,True,False,False,False,2024-07-01 11:34:51,
2024-07-01 11:36:49,example/SIBN/20240900,[-6],[-6],2024-07-01 11:36:49,7062.0,False,78,78,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,7040.0,,False,True,False,False,False,2024-07-01 11:34:51,
2024-07-01 11:37:00,example/SMLT/20240900,[-9],[-9],2024-07-01 11:37:00,3193.0,False,79,79,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,3150.0,,False,True,False,False,False,2024-07-01 11:34:51,
2024-07-01 11:37:10,example/SNGP/20240900,[-1],[-1],2024-07-01 11:37:10,56987.0,False,80,80,,True,best,sysexecution.algos.algo_original_best.algoOriginalBest,56539.0,,False,True,False,False,False,2024-07-01 11:34:51,
