DATETIME,key,trade,fill,fill_datetime,filled_price,locked,order_id,parent,children,active,order_type,limit_contract,limit_price,reference_contract,reference_price,manual_trade,roll_order,reference_datetime,generated_datetime
2024-06-28 07:10:27,example NLMK,[-1],[-1],2024-06-28 07:10:27,18142.0,False,65,,[65.0],False,best,,,20240900.0,18189.0,False,False,2024-06-28 06:41:12,2024-06-28 06:41:14
2024-06-28 07:10:44,example RTKM,[-4],[-4],2024-06-28 07:10:44,9268.0,False,66,,[66.0],False,best,,,20240900.0,9369.0,False,False,2024-06-28 06:41:12,2024-06-28 06:41:14
2024-06-28 07:11:00,example SIBN,[-6],[-6],2024-06-28 07:11:00,7072.0,False,67,,[67.0],False,best,,,20240900.0,7099.0,False,False,2024-06-28 06:41:13,2024-06-28 06:41:14
2024-06-28 07:11:17,example SMLT,[-9],[-9],2024-06-28 07:11:17,3170.0,False,68,,[68.0],False,best,,,20240900.0,3159.0,False,False,2024-06-28 06:41:13,2024-06-28 06:41:14
2024-06-28 07:11:34,example SNGP,[-1],[-1],2024-06-28 07:11:34,55717.0,False,69,,[69.0],False,best,,,20240900.0,55683.0,False,False,2024-06-28 06:41:13,2024-06-28 06:41:14
2024-07-01 11:35:12,example AFLT,[1],[1],2024-07-01 11:35:12,6479.0,False,70,,[70.0],False,best,,,20240900.0,6470.0,False,False,2024-07-01 06:21:55,2024-07-01 06:21:57
2024-07-01 11:35:27,example CNY,[26],[26],2024-07-01 11:35:27,11.0,False,71,,[71.0],False,best,,,20240900.0,11.0,False,False,2024-07-01 06:21:55,2024-07-01 06:21:57
2024-07-01 11:35:40,example MGNT,[-2],[-2],2024-07-01 11:35:40,6278.0,False,72,,[72.0],False,best,,,20240900.0,6241.0,False,False,2024-07-01 06:21:55,2024-07-01 06:21:57
2024-07-01 11:35:53,example MOEX,[-2],[-2],2024-07-01 11:35:53,23853.0,False,73,,[73.0],False,best,,,20240900.0,23794.0,False,False,2024-07-01 06:21:55,2024-07-01 06:21:57
2024-07-01 11:36:01,example MTLR,[-1],[-1],2024-07-01 11:36:01,22166.0,False,74,,[74.0],False,best,,,20240900.0,22095.0,False,False,2024-07-01 06:21:55,2024-07-01 06:21:57
2024-07-01 11:36:11,example MXI,[1],[1],2024-07-01 11:36:11,3199.0,False,75,,[75.0],False,best,,,20240900.0,3185.0,False,False,2024-07-01 06:21:55,2024-07-01 06:21:57
2024-07-01 11:36:24,example NLMK,[-1],[-1],2024-07-01 11:36:24,18128.0,False,76,,[76.0],False,best,,,20240900.0,18072.0,False,False,2024-07-01 06:21:55,2024-07-01 06:21:57
2024-07-01 11:36:36,example RTKM,[-5],[-5],2024-07-01 11:36:36,9247.0,False,77,,[77.0],False,best,,,20240900.0,9282.0,False,False,2024-07-01 06:21:55,2024-07-01 06:21:57
2024-07-01 11:36:49,example SIBN,[-6],[-6],2024-07-01 11:36:49,7062.0,False,78,,[78.0],False,best,,,20240900.0,7040.0,False,False,2024-07-01 06:21:55,2024-07-01 06:21:57
2024-07-01 11:37:00,example SMLT,[-9],[-9],2024-07-01 11:37:00,3193.0,False,79,,[79.0],False,best,,,20240900.0,3150.0,False,False,2024-07-01 06:21:55,2024-07-01 06:21:57
2024-07-01 11:37:10,example SNGP,[-1],[-1],2024-07-01 11:37:10,56987.0,False,80,,[80.0],False,best,,,20240900.0,56539.0,False,False,2024-07-01 06:21:56,2024-07-01 06:21:57
