BASE_DIR: C:\code\Systematic Trading\cursor. Лог файл: C:\code\Systematic Trading\cursor\private\instruments_status.log. Вход в функцию instruments_status
Запрос статуса инструментов: 928 записей найдено
Инструмент ID 3162: instrument: Eu, contract: 20231200
Инструмент ID 3163: instrument: Eu, contract: 20250600
Инструмент ID 3164: instrument: Eu, contract: 20250300
Инструмент ID 3165: instrument: Eu, contract: 20250900
Инструмент ID 3166: instrument: Eu, contract: 20240900
Инструмент ID 3167: instrument: Eu, contract: 20240600
Инструмент ID 3168: instrument: Eu, contract: 20241200
Инструмент ID 3169: instrument: FESH, contract: 20250600
Инструмент ID 3170: instrument: FESH, contract: 20250300
Инструмент ID 3171: instrument: FESH, contract: 20240900
Инструмент ID 3172: instrument: FESH, contract: 20240600
Инструмент ID 3173: instrument: FESH, contract: 20241200
Инструмент ID 3174: instrument: FLOT, contract: 20230900
Инструмент ID 3175: instrument: FLOT, contract: 20240300
Инструмент ID 3176: instrument: FLOT, contract: 20231200
Инструмент ID 3177: instrument: FLOT, contract: 20250600
Инструмент ID 3178: instrument: FLOT, contract: 20250300
Инструмент ID 3179: instrument: FLOT, contract: 20240900
Инструмент ID 3180: instrument: FLOT, contract: 20240600
Инструмент ID 3181: instrument: FLOT, contract: 20241200
Инструмент ID 3182: instrument: FNI, contract: 20230900
Инструмент ID 3183: instrument: FNI, contract: 20240300
Инструмент ID 3184: instrument: FNI, contract: 20231200
Инструмент ID 3185: instrument: FNI, contract: 20250600
Инструмент ID 3186: instrument: FNI, contract: 20250300
Инструмент ID 3187: instrument: FNI, contract: 20240900
Инструмент ID 3188: instrument: FNI, contract: 20240600
Инструмент ID 3189: instrument: FNI, contract: 20241200
Инструмент ID 3190: instrument: FEES, contract: 20230900
Инструмент ID 3191: instrument: FEES, contract: 20240300
Инструмент ID 3192: instrument: FEES, contract: 20231200
Инструмент ID 3193: instrument: FEES, contract: 20250600
Инструмент ID 3194: instrument: FEES, contract: 20250300
Инструмент ID 3195: instrument: FEES, contract: 20240900
Инструмент ID 3196: instrument: FEES, contract: 20240600
Инструмент ID 3197: instrument: FEES, contract: 20241200
Инструмент ID 3198: instrument: GOLD, contract: 20251200
Инструмент ID 3199: instrument: GOLD, contract: 20230900
Инструмент ID 3200: instrument: GOLD, contract: 20240300
Инструмент ID 3201: instrument: GOLD, contract: 20231200
Инструмент ID 3202: instrument: GOLD, contract: 20250600
Инструмент ID 3203: instrument: GOLD, contract: 20250300
Инструмент ID 3204: instrument: GOLD, contract: 20250900
Инструмент ID 3205: instrument: GOLD, contract: 20240900
Инструмент ID 3206: instrument: GOLD, contract: 20240600
Инструмент ID 3207: instrument: GOLD, contract: 20241200
Инструмент ID 3208: instrument: GMKN, contract: 20230900
Инструмент ID 3209: instrument: GMKN, contract: 20240300
Инструмент ID 3210: instrument: GMKN, contract: 20231200
Инструмент ID 3211: instrument: GMKN, contract: 20250600
Инструмент ID 3212: instrument: GMKN, contract: 20250300
Инструмент ID 3213: instrument: GMKN, contract: 20240900
Инструмент ID 3214: instrument: GMKN, contract: 20240600
Инструмент ID 3215: instrument: GMKN, contract: 20241200
Инструмент ID 3216: instrument: GL, contract: 20251200
Инструмент ID 3217: instrument: GL, contract: 20230900
Инструмент ID 3218: instrument: GL, contract: 20240300
Инструмент ID 3219: instrument: GL, contract: 20231200
Инструмент ID 3220: instrument: GL, contract: 20250600
Инструмент ID 3221: instrument: GL, contract: 20250300
Инструмент ID 3222: instrument: GL, contract: 20250900
Инструмент ID 3223: instrument: GL, contract: 20240900
Инструмент ID 3224: instrument: GL, contract: 20240600
Инструмент ID 3225: instrument: GL, contract: 20241200
Инструмент ID 3226: instrument: GBPU, contract: 20230900
Инструмент ID 3227: instrument: GBPU, contract: 20240300
Инструмент ID 3228: instrument: GBPU, contract: 20231200
Инструмент ID 3229: instrument: GBPU, contract: 20250600
Инструмент ID 3230: instrument: GBPU, contract: 20250300
Инструмент ID 3231: instrument: GBPU, contract: 20240900
Инструмент ID 3232: instrument: GBPU, contract: 20240600
Инструмент ID 3233: instrument: GBPU, contract: 20241200
Инструмент ID 3234: instrument: GAZR, contract: 20260300
Инструмент ID 3235: instrument: GAZR, contract: 20251200
Инструмент ID 3236: instrument: GAZR, contract: 20230900
Инструмент ID 3237: instrument: GAZR, contract: 20260600
Инструмент ID 3238: instrument: GAZR, contract: 20240300
Инструмент ID 3239: instrument: GAZR, contract: 20231200
Инструмент ID 3240: instrument: GAZR, contract: 20250600
Инструмент ID 3241: instrument: GAZR, contract: 20250300
Инструмент ID 3242: instrument: GAZR, contract: 20250900
Инструмент ID 3243: instrument: GAZR, contract: 20240900
Инструмент ID 3244: instrument: GAZR, contract: 20240600
Инструмент ID 3245: instrument: GAZR, contract: 20241200
Инструмент ID 3246: instrument: HKD, contract: 20251200
Инструмент ID 3247: instrument: HKD, contract: 20230900
Инструмент ID 3248: instrument: HKD, contract: 20240300
Инструмент ID 3249: instrument: HKD, contract: 20231200
Инструмент ID 3250: instrument: HKD, contract: 20250600
Инструмент ID 3251: instrument: HKD, contract: 20250300
Инструмент ID 3252: instrument: HKD, contract: 20250900
Инструмент ID 3253: instrument: HKD, contract: 20240900
Инструмент ID 3254: instrument: HKD, contract: 20240600
Инструмент ID 3255: instrument: HKD, contract: 20241200
Инструмент ID 3256: instrument: HOME, contract: 20230900
Инструмент ID 3257: instrument: HOME, contract: 20240300
Инструмент ID 3258: instrument: HOME, contract: 20231200
Инструмент ID 3259: instrument: HOME, contract: 20250600
Инструмент ID 3260: instrument: HOME, contract: 20250300
Инструмент ID 3261: instrument: HOME, contract: 20250900
Инструмент ID 3262: instrument: HOME, contract: 20240900
Инструмент ID 3263: instrument: HOME, contract: 20240600
Инструмент ID 3264: instrument: HOME, contract: 20241200
Инструмент ID 3265: instrument: HANG, contract: 20251200
Инструмент ID 3266: instrument: HANG, contract: 20240300
Инструмент ID 3267: instrument: HANG, contract: 20231200
Инструмент ID 3268: instrument: HANG, contract: 20250600
Инструмент ID 3269: instrument: HANG, contract: 20250300
Инструмент ID 3270: instrument: HANG, contract: 20250900
Инструмент ID 3271: instrument: HANG, contract: 20240900
Инструмент ID 3272: instrument: HANG, contract: 20240600
Инструмент ID 3273: instrument: HANG, contract: 20241200
Инструмент ID 3274: instrument: HYDR, contract: 20230900
Инструмент ID 3275: instrument: HYDR, contract: 20240300
